"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"GE";"Washer";"GTW585BSV2WS";"GE warranty";"074033275";"AS I CAN TELL,THE LEAK IS COMING FROM THE WHERE THE ARROW IS POINTING. SLOW LEAK TO WHERE  WATER ACCUMULATED ONTO THE FLOOR AND WORKED IT'S WAY TO THE DRAIN";"CHANGED INLET HOSE FROM WALL. OP OKAY";"Go to Diag
Customer MUST provide TWO new inlet hoses

03/28/25 customer sent us text GS 

Changed inlet hose from wall. 04/09/25 tb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Maytag";"refrigerator";"MRFF4236RZ01";"Whirlpool Warranty";"7741254456";" TOP OF THE REFRIGERATOR RIGHT SIDE SEE PHOTO";;"TB only Diag
7/29 The part was on backorder, and the exparts canceled the order. The customer was notified to contact Whirlpool

04/01/25 customer sent us text GS out of town tell/until friday gs

Right door upper corner seam has imprefections
LEft door has 1/4 inch scratch.
Both doors.  Pics to shop. 04/09 TB
";"W11661563";;;;;;;"W11435333";;;;;;;;"Door 54978";;;;;;;"Door 54978";;;;;;;
"Menumaster";"Microwave";"MOC24RB";"ACP Warranty";"P2004804M";"NO POWER, NO HEAT.";;"4/3/25, Shop Note:
Unit Dead
-Main Fuse blown
-Top Antenna Arcing, ruined
-Top Mag bad
-Cavity Exhaust fan bad
-Excessive grease inside cavity
-Left interlock shorted out, switches not working.

4/4/2025, Shop Observation.
Unit was cleaned extensively. Removed the high voltage transformer, replaced top antenna, cleaned bottom antenna. Top mag was removed and TCO bypassed to power on the unit with breaker. Unit powered on, as soon as the door was closed, the left interlock sparked. Repair was halted to replace both interlocks. Upon closer examination, it was revield that the right side interlock was broken and the left side interlock was shorted.

4/9/2025. Further Repair.
Both interlocks were replaced. The unit turned on, display showed dash lines, the stop button worked for a little bit and opened the door, then it stopped working. The display does not show Ready. Investigate why the cooking function is not turning on. 

";"14189146";;;;;;;"M0805203";"59004092";"59004013";"14090031";;;;;"Antenna, Top";;;;;;;"Fuse 20A, BLN 20";"Cavity Exhst Kit";"Mag 2M248KA(A)";"Interlock Kit";;;;
"Whirlpool";"refrigerator";"WRF555SDFZ19";"Whirlpool Warranty";"7741272528";"ICE MAKER IS BROKEN  BRAND NEW BIULD  HOUSE, IS STUCK IN THE FILL POSITION AND WON'T CYCLE.";"replaced parts op ok";"04/03/25 I called customer GS 

04/03 customer called (why did they call?) <<intials>>
4-10-25 ice maker not working at all 
installed new icw maker that is still in the unit
water valve keeps dumping water into the ice maker gp
4-22-25 installed water valve but could not get new ice maker to go into diag Called tech support and found that the new ice maker 
is N/F
6-5-25  cx called GP last nite and left a VM that the home builder
was to call and cancel call because the ice maker is working now
so cx said i dont need to come and fix the ice maker GP
installed parts4-22-25 GP";"W11692161";;;;;;;"W11548535";"CRM";;"W11692161";;;;;"IM 12348";;;;;;;"Valve3722";"6/10/25";;"#IM 12348    Q4";;;;
"Whirlpool";"refrigerator";"WRS571CIHZ01";"Whirlpool 3rd party";"BS89154PAO51";"ICE MAKER NOT WORKING";"6-17-2025-gp installed parts op-ok-gp";"5 versions, all take same IM

 04/03/25 I call the customer GS 
4-9-25- ice maker not working due to two broken wires in the bottom of the low wire harnes freezer door 
no parts installed 4-9-2025-gp
6-17-25 installed parts op-ok-gp";"W10873791";;;;;;;"LW11202405";"WP4388201";"WP4211117";"CRM";"CRM";;;;"#IM 5395";;;;;;;"Frz Dor 78275";"Connector456";"Connector456";"6/23/25";"6/23/25";;;
"Maytag";"Washer";"MVW7232HW1";"Whirlpool Warranty";"7741272208";"GRINDING OR RUBBING NOISE - DURING SPIN";;"<<Date>>Something factual, relevent, actionable and coherent<<initals>>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"Washer";"WTW5010LW0";"Whirlpool Warranty";"7741279069";"- WASHER - CYCLE STARTS HAS TO UNPLUG TO OPEN THE LID LOCK
";"close call  per whirlpool";"04/03/25  i call are friend  

Could not duplicate any issues. Changed main,(New main in unit) due to lock working after power reset.
Cust says when it occurs, the spin out will not always spin clothes out, but no standing water. This indicates imbalance., Get dampers. 04/09/2tb whirlpool said close  GS ";"W11513246";;"W11643701";"CRM";;;;"W11395618";"W11643701";;"W11130362";;;;;"Main 12900 +C60";;"Harness 3946";"2/3/25";;;;"Capacitor 5798";"Harness 4248";;"dampers 6441";;;;
"GE";"Dryer";"PTD60EBPR1DG";"GE warranty";"074077136";" THE DRYER STARTS BUT THE DRUM DOESN'T  SPINNING  ALSO HEATS

";"CHANGED PARTS. OP OKAY";"04/08/25 I CALL THE CUSTOMER  GS

Drum is grinding. Rear bearing and front bearing and trap are gritty/damaged. 04/29 TB

Changed parts. 06/02/25 tb";"WE03X29897";;;;;;;"WE03X29258";"WE3M33";"WE16X33120";"WE03X23875";"CRM";;;;"Belt 2426";;;;;;;"#Motorblower19395";"Shaft 2148";"Trap 4040";"#Top Bearing 6685";"6/5/25";;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hotpoint";"dishwasher";"HDF330PGR6WW";"GE warranty";"074109235";"LEAKING AND FLOODING:LEAKING WATER

";"Unit came with massive water leak. Upon inspection, the water inlet vale was faulty and replaced. Door and tub seals were bad, spray aram was faulty. Replaced the needed parts, checked operation OK. Unit Done.";"6/30/2025, Unit Delivered, K-GP


4/11/2025: Unit only brought to shop. No drain hose attached. K-GP 4/18/2025 Lowe's Staff, Shanan.
Model number was wrong, serial number was not written. 
Both numbers got corrected. K

5/30/2025, Shop Note:
Unit was connected to water source and drain hose attached. Ran the unit for a full cycle. The inlet thread connection at the selenoid valve seems damaged and was leaking after the connection was secured.  Replace the inlet selenoid valve before going further.

6/3/2025, Work Done:
Replaced the inlet water valve. Connected to water source, tested operation, ran through complete cycle. No leak from the valev was observed, but water leak from the bottom door seal continued. Unit needs door seal to proceed with troubleshooting. The door seal looks deformed.
Get door seal. K

6/9/2025, Repair Continued:
Replaced the bottom door seal, ran the unit through it cycle. Dripping from the bottom door seal dropped to a few drips only, but still leaks a little bit. Will contact GE for advice. K-GP, GEO.
Called tech support on the water leak they advised to change door seal and lower spray arm GP

6/28/2025, Final Repair:
Unit came with massive water leak. Upon inspection, the water inlet vale was faulty and replaced. Door and tub seals were bad, spray aram was faulty. Replaced the needed parts, checked operation OK. Unit Done. 

Water Valve1309
Door Seal1271";"WD15X27703";;;;;;;"WD08X21894";"WD22X27724";"WD08X23476";"CRM";;;;;"Water Valve";;;;;;;"Door Seal";"Lower Spray Arm";"Tub Seal";"7/4/25";;;;
"Samsung";"TV";"UN32N5300AFXZA";;;"NO POWER";"dnr 8-6-23 customer said to recycle it GP";"4/11/2025, Shop Note:
This unit has a combination main board and power supply and separate T-Con. The panel has two address bars.

Shop Observation:
No audio, no video, standby light flickering, then stays on.
Power on, no backlight or video. Disconnected the backlight connector, 116 V DC measured at the LED terminal connector as turned, and turns off as unit is powered off. So, the main seems to be working fine.
Disconnecting the panel did not change anything.

Start repair by replacing LEDs, which seems to take 3 trips.

I am not sure how to charge for this??
8-6-25 gp called customer she said recycle it
This TV parts GP
";"BN81-19448A";;;;;;;;;;;;;;;"LEDs";;;;;;;;;;;;;;
"LG";"refrigerator";"LFDS22520S/04";"Assurant Extended";"25000372428DF";"FRIDGE IS WORKING NORMALLY. HOWEVER, PART OF THE DOOR IS SHOCKING. NOT LIKE STATIC ELECTRICITY, BUT A CONTINUOUS SHOCK LIKE A SHORT OR BAD GROUND. JUST STARED THIS WEEK. NO DAMAGE OR ANYTHING TO THE FRIDGE

";"CHANGED PART. OP OKAY";" Diag.  Likely TB

Just stared this week. No damage or anything to the fridge

Shock when touching mullion. Disconnected mullion. If occurs after changing mullion, get door(Stainless steel). 04/23 TB

Changed part. 05/02 TB";"AGU75770106";;;;;;;;;;;;;;;"Mullion 13387";;;;;;;;;;;;;;
"Whirlpool";"Microwave";"WMMS3130RZ01";"Whirlpool Warranty";"7741359707";"THE MICROWAVE TURNS ON, BUT IT DOESN'T HEAT ANY OF THE FOOD AND IT MAKES A FUNNY NOISE LIKE CRACKLING NOISE";"CHANGED PARTS. OP OKAY";"WP8312709

Changed parts. 06/04/25 tb";"W11753208";;;;;;;"W10574736";"W11256462";"W11759254";"CRM";"CRM";;;;"#Mag 4794";;;;;;;"Cap 5361";"HV Diode 1105";"#Transfor 3730";"6/5/25";"6/13/25";;;
"KitchenAid";"refrigerator";"KRMF706ESS04";"Whirlpool 3rd party";"AO99864PCN36";" DISPENSING ISSUE (WATER AND/OR ICE), LIGHTS NOT WORKING DISPENSING ISSUE (WATER AND/OR ICE), LIGHTS";"Changed parts. op ok";"04/21 refrigerator lights did not work. The ice and water dispenser did not make ice nor did it dispense water and the first repair person found that water had leaked into the electrical unit right beneath the dispenser in the middle drawer.

04/25 Drawer had water go in and wiring got wet, causing lights and dispenser to not operate. Disable drawer wire and function returned. Need drawer and harness. tb

Changed parts. 
Issue still with the water dispense. Slow to flow, and stops after approx 10 seconds. Chefck valves and water lines. Reset and reseated filter. Works better and more consistently. Customer needs to change filter. 06/09/25 tb";"W10804160";;;;;;;"WPW10624574";"W11658802";"W11482025";"W11289496";;"W10815669";"W11170612";"CRM";"#Main 12473+C60";;;;;;;"#Main 13327  +C60";"#IM 7802";"#Valve 9038";"#Switch 1208";;"Drawer face 47423";"#Draw harn 4428";"6/10/25"
"Sony";"vhs/dvd";"SLV-D100";;;"DVD WORKS BUT VHS JUST EJECTS BEFORE IT CAN PLAY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Menumaster";"Microwave";"MDC212";"Commerical Microwave";;"INITIAL CUSTOMER COMPLAINT, BROKEN TRAY";"Give the estimated unit as been DNR billed out for diagnostic";"4/25/2025, Customer declined the repair.

4/21/2025, Shop Note:
Unit Appears Dead, Fuse OK, TCO OK, Interlock OK.
-No Display
-When plugged in, beep Audible
-Missing Tray Support
-Ceramic Tray, OK
-Control Board bad
8/4 unit as been DNR unit is in the restaurant GP & K

";"59174522";;;;;;;"14090032";"59004013";;;;;;;"Tray Support";;;;;;;"HV/LV Control Brd";"Mag 2M248(K)A";;;;;;
"Whirlpool";"Range, Elec";"WMMF7530RZ00";"Whirlpool Warranty";"7741392637";"IT'S DOING THIS JUST RANDOMLY SHUTTING OFF WHILE USING  IS ALSO SPARKING INSIDE THE MICROWAVE WHEN L AND MICROWAVING. F";"Unit came with the complaint of random shutting off and arcing inside cavity in microwave function. Replaced control board, tested operation, did not shut off randomly. Arcing sound maybe from food splashing broiler. No arcing observed. Unit Done";"06/13 unit picked up by customer. dk

6/13/2025, We were planning on delivering this microwave on monday and called her about it on Friday, but she was very rude. So, she can come to pick it up herself. K-GP

Bring to shop
4/24/2025, Unit only (internal rack left with customer) brought to shop by K-GP.

 THERE'S A GREAT AT THE TOP OF THE MICROWAVE THAT IS ALREADY STARTING TO LIKE RUST.

4/25/2025, Shop Note:
This unit is a combination of microwave, air fryer, and convection oven. Fairly complicated. The exhaust blows from the front. Customer complained of rusting inside. The rust-looking objects are food matter that has plashed on the broiler heating element. Test the unit throughly.

5/8/2025. Whirlpool called for status report. Was advised that an in-depth diagnosis will be made next week. She willl call by the end of next week for update.

5/9/2025. Pictures and notes uploaded on the dispatch in-service bench RE

6/13/2025, Repair Summary. 
Unit came with the complaint of randon shutting off and arcing inside the cavity in microwave function. Replaced the contro board and the unit was thoroughly examined and put to extensive testing in the shop. The function was restored and did not shut off randomly. The arcing sound could be due to food matter splashing on the broiler elements, sounding as arcing. No arcing was observed. There are food burn particles baked on the broiler heating elements and reflector panel which cannot be removed without using abrassive matrial which may damage the reflector panel shiny surface. Therefore the baked food particles were not scrubbed. The customer is advised to cover the food inside the microwave before cooking in the microwave function. If the randon shutting off happens again, it might be due to insufficient air curculation as the unit gets hot with all the functions it performs.
Operation OK, Unit Done. ";"W11731686";;;;;;;;;;;;;;;"Control Brd11978";;;;;;;;;;;;;;
"Frigidaire";"refrigerator";"FFSS2614QS6A";"american home  protect";;"THE FREEZER ISN'T WORKING/FREEZING.
";"5/02 customer declined to go forward with repair. dk";"05/02 co-pay collected. dk

Temps 4Deg F in FZ. Water dripping/leaking from inlet tube to IM. IM grinds. Water is/was leaking down rear wall onto fan.
DK called cust and collected $65.00 via CC for copay.  05/02 TB

05/02 Need to call customer and offer to do the work for $150 labor plus parts -65 deposit already paid. dk

5/02 customer declined to go forward with repair. dk";"241798231";;;;;;;"241796405";;;;;;;;"IM8024";;;;;;;"Tube 0949";;;;;;;
"Panasonic";"microwave";"NN-SC73LS";;;"NO DESCRIPTION";"Unit as been DNR by customer unit is in the restaurant GP & K";"5/19/2025.
This unit is bought out. OTD (Okay To Dispose), K

4/22/25, Shop Note:customer called ok to dispose of  05/19/25 customer got a check GS 
Unit turned on, made clicking sound from inside, then stopped in about 50 seconds, displayed Error Code E05, did not heat.

5/19/2025.
This unit is bought out. OTD, K

05/09 Customer called to inquire, says they will contact ext. warranty company about repair. She said the ext. warranty starts after the manuf. warranty expires. dk

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony";"subwoofer";"SA-W2500";;;"DONATION METRO TV";;"Powers on for awhile then theres a popping sound 
then unit goes dead  If you tap on it   it may come back on.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lg";"TV";"60LB7100-UT.BUSWLJR";;;"BACKLIGHT";;;"6916L-1721A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WHIRLPOOL";"dishwasher";"WDF520PADM5";;;"STARTS, LETS SOME WATER IN, RELEASES DETERGENT, SHUTS OFF BEFORE COMPLETION OF CYCLE.";"aged out, did not get callback from customer, dk";"04/30/25 Wash motor error. heater ok. Intermittent. Unit working upon arrival. Cx declined immediate repair. Advised that they have 30 days to apply todays diag and trip charge to total price, per Naeem. Cx wants est. geo

04/30/25 Notified cx of estimate. geo";"W10837026";;;;;;;"W11025865";;;;;;;;"PumpMotor";;;;;;;"Main  +60";;;;;;;
"Whirlpool";"refrigerator";"WRX986SIHZ00";"Whirlpool 3rd party";;" REFRIG SHUTS DOWN WITHOUT WARNING, CAUSING LOSS OF ALL CONTENTS TWICE. ICE MAKER DOES NOT WORK AT ALL.WE HAVE TO RESTART THE UNIT BY UNPLUGGING FROM THE WALL SOCKET AND REPLUGGING.";"CHANGED PARTS. OP OKAY";"Cx declined 5/9 & 5/29 sc offer NE. 

Unit loses complete power. No lights, seeming dead state.  Was not able to duplicate condition. Occurs months apart. When occur, unpluge and plug back in, function returns to rnormal. 
Changed 3 PCBs.  PCB's have cores and are in return box. 
The Icemaker does not get water to unit. The line is frozen and heater has open impedence. 05/14 TB

Since first visit (install of pcb's) the unit shurt off again. unplugged and plugged in and has run since. Called WP TS.. Ref #7741623535.  TS went through fans, etc. TOP IM fan  has slight oscillation and can shut down power from low volttage power error. 05/22/25 tb

Changed parts. 06/02/25 tb";"W10830278";;;;;;;"W10843055";"W11387386";"W11658802";"W10846539";"W11637688";"W11087201";"W11686799";"CRM";"Main PS 19027";;;;;;;"Main 19684";"UI 18477+C";"#IM 7802";"Fan 10738";"#Facia heat 3214";"IM Heater 4447";"Water tube 3727";"6/4/25"
"Jbl";"bt speaker";"XTREME2";;;"NO DESCRIPTION";"charges properly if correct charger is used (charger with JBL and red tag). powers on and stays on. has clean audio out. finished 07/22/25 krd";"94346301093550638828094";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Workingman'S";"sub, powered";"1X15T";;;"STARTED SMOKING DURING USE, RECENTLY GOT A 1500W INVERTER FOR IT WHICH HE WAS USING WHEN IT SMOKED.";"Needs new amp, part nla. finished 07/18/25 krd";"8-5 25 GP call and LVM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"16 Highlander";"am/fm/cd/nav";"CQ-XT85E17X";"Whirlpool Warranty";"7111544994";"SCREEN POWERS ON WITH BACKLIGHTS BUT NO DISPLAY UNLESS REVERSING WHEN IT SHOWS THE BACKUP CAMERA";"Sent to UR for estimate, was not economical, returned to Metro for customer to pick up. dk";"07/25 Unit picked by by Mrs... G dk

07/10 1Z6018X80394607046 to UR in Peachtree City, GA on provided label. dk

07/16 Tina from UR Peachtree City, GA est is 721.70 dk

07/16 Customer is kitchen manager at Valentino's. They recently brought some microwaves in for service so I marked this up less than normal. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ACP";"Microwave";"RCS10TS";"Commerical Microwave";;"BURN SMELL FROM INSIDE";"UNIT CAME WITH EXCESSIVE ARCING IN UPPER ANTENNA. WAVEGUIDE INSIDE THE CAVITY BURNED AND RIPPED IN MULTIPLE PLACES. THE ANTENNA MOTOR STIRRER SHORTED TO THE WAVE GUIDE, SHORTED TO MOTOR SHAFT, WELDED TO THE ANTENNA SHIELD. UNIT NOT REPAIRABLE AS IS.";"6/12/2025, Unit picked up by The Eatery employee. Dale forgot to have him sign the release paper. K

6/11/2025. Customer declined repair. Spoke with Nathan, wants to pick up the unit. K

6/12/2025, I left a note for the customer to hold on to this unit. I might be able to salvage it for them for a reasonable fee once I get our TIG welder set up. K There are several units in a similar situation. This unit seems salvageable. K

4/25/2025, Shop Note:
-Excessive arcing in upper antenna.
-Waveguide inside the cacvity burned and ripped in multiple places
-The antenna motor stirrer shorted to the waveguide, shorted to motor shaft, welded to the antenna shield. Probably magnetron shorted too.
-Unit not repairable without welding and refurbishing the waveguide. K-GP

06/04 Error received from the database -242->there are no items in the cart. Previously the mag was in the cart for $.02 dk

6/11/2025. Customer declined repair. Spoke with Nathan, wants to pick up the unit. K

6/12/2025, I left a note for the customer to hold on to this unit. I might be able to salvage it for them for a reasonable fee once I get our TIG welder set up. K There are several unit in a similar situation. This unit seems salvageable.
";"12002625";;;;;;;"56002013";"14114048";;;;;;;"Ant. Cover Kit";;;;;;;"Ant Motor";"magnetron";;;;;;
"Panasonic";"dlp proj";"PT-D5500UL";;;"SHUT DOWN, TECH GUY AT THE CHURCH SAID 'THE WHOLE MACHINE DIED'";;"8/11/2025, Shop Note:
The unit was brought as dead and not powering up. It appears that the unit has been opened and worked on before, not put back together properly. We found broken pieces and broken screw holder section inside. Pictures were taken of the damaged and broken parts. Also, there is sign of overheating and distorion near the lamp housing area. The unit was brought to life, it indicated light failure. Cannot do further evaluation until after the lamp is replaced, 
Get lamps, give estimate. K

08/14 146151955560 ebay rr00ww166

09/23 Gave est of 402 to Bob, he'll present it to the board. dk 
";"ET-LAD55W";;;;;;;;;;;;;;;"Lamp Pack, Twin";;;;;;;;;;;;;;
"Behringer";"amp";"EUROLIVE B-1800D-PRO";;;"SMOKED FROM INSIDE UNIT, REPLACED FUSE, BLEW 2ND FUSE RIGHT AWAY";"needs new power supply pcb, part nla. finished 07/18/25 krd";"07/18/25 unit picked up by customer. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-21523";"Commerical Microwave";;"UNKNOWN";"UNIT CAME WITH UNKNOWN PROBLEM. UNDER SHOP TEST, DID NOT HEAT CONSISTENTLY, CAUSED BY BAD INTERLOCK AND BAD DOOR KEY. DISASSEMBLED, REPAIRED DOOR FRAME, INSTALLED DOOR KEY, INTERLOCK ASSEMBLY AND AIR FILTER. RETESTED, OP OK, UNIT DONE";"05/16 unit picked up by Ralph. dk

5/16/2025, Customer notified. Ralph may pick up by noon today. K


4/29/2025, Shop Note:
Unit came in with unknown problem, also missing air filter, Not sure, did not charge!.
Disassembled, checked components.
-Mags, OK, 2M261-M1
-HV Caps OK
-HV Diodes OK
-Uper Antenna OK
-Lower Antenna OK
-Interlock not consistent
-Door keys worn out
Unit heat up OK, but my not be consistent
Get complete interlock assembly.

5/15/2025, Repair Summary:
Unit came with unknown problem. Under shop test did not heat consitently, caused by bad intrelock and bad door key. Disassembled door, repaired door frame, installed door key, interlock assembly, and air filter. Op OK, Unit Done, K-GP

";"ANE61424L0AG";"A3018-3850";": A3019-3850";"A301H-3850";;;;"ANE61784L0AG";"H3020-3850";"ANE61424L0AG";"A3136-3470";"A3138-3470";"A31373F90BP";"A31373F90BP";"H32628U0AP";"Microswitch a,d";"Door Key Assy";"Door Key Bottom";"Door Key Latch";;;;"Microswitch b";"Door Hook A c";"Microswitch a,d";"Spacer";"Spacer";"Spacer B g,h";"Spacer B g,h";"Spring i"
"Whirlpool";"dryer";"WED5010LW1";"Whirlpool 3rd party";;"DRYER WILL TURN ON HEAT UP AND SPIN FOR ABOUT 30 SECONDS, THEN STOPS SPINNING EVERYTHING ELSE IS STILL WORKING AS SHOULD BE JUST STOPPS SPINNING. WE LOOKED AN IT SEEMS LIKE THE BELT IS PRETTY BEAT UP";"CHANGED PARTS. OP OKAY";"Cx cxld 5/15 sched appt, NE. 
Check exhaust vents.
Check if motor overheating. 
Check Thermistor impedance BEFORE running, if possible

Motor pulley is wonky and chewing up belt. 05/05/25 tb

Changed therms, motor, fan, belt. Changed parts have been disposed. 
Unit will now turn without motor/belt slipping. Drum now bangs 1/1RPM. 05/22 TB

Changed parts. 06/06/25 tb";"W11728014";"WPW10121316";"349241T";"CRM";;;;"WP3406107";"WP8577274";"WP3392519";"W10899578";"341241";"279827";"WP694089";"WP3404162";"#Main 12527 +C60";"Clamp 0930";"Roller Set 0664";"6/13/25";;;;"#Switch 0865";"Thermistor 1498";"Therm Fuse 0522";"Drum 11617";"Belt 0488";"Motor 7027";"Wheel 1414";"Clamp 0316"
"Kenwood";"tuner";"KT-75";;;"AFTER ABOUT TWO MINUTES THE FM RECEPTION FADES TO STATIC";"resoldered main board. tunes into and stays tuned into stations. has clean audio out. finished 07/28/25 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lg";"tv";"49UJ6300-UA.BUSYLOR";;;"NO SOUND";"Test ran unit all day and all night and did not observe any issues with sound. dk";"7/15/2025, Shop Note:
The unit seems to have sound. Customer said TV loses sound after a while. When switching channels, then the sound comes back on.

TV is set for Internet and placed on test rack for observation. K-GP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amana";"washer";"NTW4519JW2";"Whirlpool Warranty";"7741451411";"WASHER KEEPS FILLING WITH WATER AT THE END OF CYCLES STARTS FILLING WITH WATER AND WILL NOT STOP HAS TO BE UNPLUGGED TO STOP";"06/11/25 Replaced parts. op ok";"06/11/25 Hot side valve leaking. Replaced parts. op ok geo";"W11607637";;;;;;;"W11038689";"CRM";;;;;;;"#Main 13548+C";;;;;;;"Valve 4045";"6/16/25";;;;;;
"Amana";"Washer";"NTW4516FW4";"Whirlpool Warranty";"7741458570";" ACE  SAIF THE WASHER IS STUCK ON DRAIN CYCLE CUSTOMER SAIF  TURNS ON AN CYCLES ON ITS OWN";"Changed parts. op ok";"Changed parts. 07/07/25 tb";"W11603811";;;;;;;"W11428524";"W11448788";"W10919003";"CRM";;;;;"Main 13548+";;;;;;;"Capacitor 5548";"#Harness 4866";"#Drain pump 11658";"7/10/25";;;;
"Bose";"am/fm/cd";"WAVE MUSIC SYSTEM";;;"WILL NOT PLAY RADIO OR CD, DOESN'T REMEMBER IF IT POWERS ON.";"needs recapped at minimum, dnr. finished 07/22/25 krd";"9-26-25 called customer at 1027 am ok to dispose of GP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"tv";"QN65QN90BAFXZA CK23";;;"HAS LINES INTERMITTENTLY IN PICTURE MAKING IT LOOK LIKE THE HORIZONTAL CENTER OF THE SCREEN IS 'JUMPING AROUND'";"Unit needs panel replaced, the panel is available, however it is not economical. Do not repair. dk";"7/17/2025, Shop Note:
TV comes on, screen flickers, image moves up and down. Horizontal lines across the screen. TV has a single address bar. Could not separate screen sections. TV needs panel. Get panel price, give estimate. K-GP.

07/17 will pu TV dk 
07/21 okay to dispose dk";"bn95-08432t";;;;;;;;;;;;;;;"Panel";;;;;;;;;;;;;;
"Samsung";"TV";"UN43DU7200FXZA  DB03";;;"BLUE SCREEN, NO VIDEO";"TV came with blue screen no audio or video. Replaced man board-power supply combo, configured to panel, updated software to 1301.1. checked operation OK. Unit Done. K-GP";"7/5/2025, Customer stopped by for update. Check out this unit, give update to customer. K 

Shop Note 5-2-25 TV powers on back light only no video 
Not responding to remote.

5/02/2025, Repair Update:
Samsung TV has backlight, but no video.  This TV has a combo main and power supply, with two address bars. Cannot separate the main from backlight. The standby light does not display error code.
 
Get main/ps combo.

7/7/2025, Repair Done:
TV came with blue screen no audio or video. Replaced man board-power supply combo, configured to panel, update software to 1301.1. checked operation OK. Unit Done. K-GP

";"BN96-58721P";;;;;;;;;;;;;;;"Main/PS";;;;;;;"IR sensor";;;;;;;
"Samsung";"refrigerator";"RF23M8070SG/AA";"selfpay";"4180686374";"STOPPED MAKING ICE AND THE  THE WATER STOPPED THEY CHANGED THE FILTER  DIDN'T WORK WENT A GOT ASAMSUNG FILTER ONLY WORKED FOR 2 DAYS THE WATER";"07/02/25 Replaced parts. op ok";"05/01/25 customer ok $95.00 trip $40.00 diagnostic plus tax GS 

05/06/25 IM error. IM not functioning. Needs update and bulletin applied. Dispenser, pitcher ok. Cx paid $144.79 w/CC.  geo

05/06/25 Called cx w/Est. They approved Est. and repair. geo

05/07 The Service Order was completed.dk

06/23/25 Installed parts. Wrong main in kit. Needs correct main. Customer paid $672.62 w/CC. Need to talk to Dale about getting correct board for unit that's supposed to be in kit. geo

07/02/25 Replaced parts. op ok geo";"DA82-02671A";;;;;;;"DA97-17285A";;"DA82-02638A";;;;;;"#IM Kit";;;;;;;"IceTray";;"IM Kit172.50";;;;;
"Samsung";"refrigerator";"RF27T5241SR/AA 51";"selfpay";"4180687034";;;"
5/8 Cx only wants us to sent him the IM, he is sending us the information about his Refrigerator b/c there are many versions.NE 

SELF PAY $95 + $40 + Tax
Firmware must = Version 13+.  If no, then get Main AND any other parts in error.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Zenith";"stereo, console";"UNKNOWN";;;"AUTOMATIC MOVEMENT OF TONE ARM IS NOT NORMAL, HAS TRIED WITH MORE THAN ONE DISK. IT'S OKAY TO DISABLE AUTO FUNCTION IF THAT'S NOT FIXABLE. PUTTING THE HOLDER ARM TOWARD THE TONEARM DOES NOT DISABLE THE AUTO FUNCTION.";"turntable switch is starting to crack, part nla. finished 08/27/25 KRD";"09/19 customer said kenny said cleaning may fix it. dk

09/19 lvm, told customer that unit was not fixable, but may have been dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
